Segments, Location, Referenced Data type, Value Set
PRB,26,CWE,HL70836
PRB,1,ID,HL70287
ITM,29,CWE,HL70376
ITM,4,CWE,HL70778
ITM,12,CWE,HL70132
ITM,19,IS,HL70320
ITM,27,CNE,HL70088
ITM,3,CWE,HL70776
ITM,23,CNE,HL70532
ITM,18,CWE,HL70793
ITM,28,CNE,HL70340
ITM,15,CWE,HL70871
ITM,16,XON,HL70790
PRD,1,CWE,HL70286
PRD,6,CWE,HL70185
PRD,7,PLN,HL70338
ADJ,11,IS,HL70569
ADJ,4,IS,HL70564
ADJ,7,CWE,HL70565
ADJ,6,CQ,HL70560
LRL,2,ID,HL70206
LRL,4,CWE,HL70325
VND,5,CNE,HL70532
SPM,16,CWE,HL70489
SPM,20,ID,HL70136
SPM,29,CWE,HL70494
SPM,4,CWE,HL70487
SPM,23,CWE,HL70492
SPM,5,CWE,HL70541
SPM,21,CWE,HL70490
SPM,24,CWE,HL70493
SPM,15,CWE,HL70376
SPM,27,CWE,HL79999
SPM,22,CWE,HL70491
SPM,7,CWE,HL70488
SPM,10,CWE,HL70543
SPM,11,CWE,HL70369
SPM,6,CWE,HL70371
SPM,28,CWE,HL70544
SPM,9,CWE,HL70542
RFI,3,ID,HL70136
DSC,2,ID,HL70398
EDU,7,CWE,HL70402
EDU,2,IS,HL70360
AUT,2,CWE,HL70285
AUT,1,CWE,HL70072
PSH,8,ID,HL70329
PSG,4,ID,HL70136
PSL,32,CWE,HL70882
PSL,47,ID,HL70136
PSL,8,CWE,HL70880
PSL,20,IS,HL70562
PSL,31,CWE,HL70881
PSL,6,CWE,HL70559
PSL,17,IS,HL70561
PSL,12,CQ,HL70560
PSL,33,CWE,HL70894
PSL,21,ID,HL70532
PSL,22,CWE,HL70879
IN2,38,IS,HL70231
IN2,72,CWE,HL70344
IN2,32,IS,HL70009
IN2,41,CWE,HL70212
IN2,31,IS,HL70223
IN2,48,IS,HL70311
IN2,34,CWE,HL70296
IN2,4,IS,HL70139
IN2,59,IS,HL70312
IN2,39,CWE,HL70006
IN2,18,ID,HL70136
IN2,35,IS,HL70220
IN2,36,CWE,HL70215
IN2,43,CWE,HL70002
IN2,11,CWE,HL70342
IN2,42,CWE,HL70189
IN2,60,IS,HL70313
IN2,14,IS,HL70140
IN2,5,IS,HL70137
IN2,16,IS,HL70142
IN2,71,CWE,HL70005
